discipline,statistic,variant,days,rho,occupied_day_pairs,bartlett_variance_factor
para,msd_10000,raw,15,0.05091723283006627,2158,1.69966048011451
para,msd_10000,raw,16,0.024590833011272933,2165,1.7309705826335595
para,msd_10000,raw,17,0.0195354816846302,2115,1.7614901828575764
para,msd_10000,raw,18,0.018622232465556315,2132,1.7907893254661063
para,msd_10000,raw,19,0.0012850433633652253,2139,1.8189645827964278
para,msd_10000,raw,20,0.014701389295083904,2121,1.8444508187300541
para,msd_10000,raw,21,0.02940176473214091,2114,1.8689099264123907
para,msd_10000,raw,22,-0.004550411559516392,2144,1.8938183665538004
para,msd_10000,raw,23,0.02905772522573693,2077,1.9161651674168687
para,msd_10000,raw,24,0.009719468837708514,2108,1.939071211976826
para,msd_10000,raw,25,0.005965242962170765,2079,1.9609223304790033
para,msd_10000,raw,26,0.018933715632308334,2083,1.9815514585550262
para,msd_10000,raw,27,0.028491018331001122,2071,2.0020550005241073
para,msd_10000,raw,28,0.03290056534838893,2104,2.02312907651904
para,msd_10000,raw,29,0.025571485690624816,2078,2.0450187724693834
para,msd_10000,raw,30,0.0074580195179489535,2066,2.0671539210690786
para,msd_10000,raw,31,-0.004442435281922448,2065,2.088342158115114
para,msd_10000,raw,32,-0.02792816581501405,2082,2.10792847814065
para,msd_10000,raw,33,-0.008553170850854346,2052,2.1246351323576693
para,msd_10000,raw,34,-0.01299810251608266,2045,2.139855914511872
para,msd_10000,raw,35,-0.038739680070421466,2056,2.1534641889706307
para,msd_10000,raw,36,-0.01633645008580038,2041,2.1641642437333224
para,msd_10000,raw,37,-0.012113419932971603,2030,2.173402865801502
para,msd_10000,raw,38,-0.004718639484076841,2022,2.18151769618541
para,msd_10000,raw,39,-0.003351457258760147,2024,2.188974399909422
para,msd_10000,raw,40,-0.012418721168313197,2066,2.1958906955842954
para,msd_10000,raw,41,-0.008452771097197595,2054,2.201863819705841
para,msd_10000,raw,42,-0.019844025349091833,2029,2.207149996436019
para,msd_10000,raw,43,-0.024916405412932104,2045,2.211267326557859
para,msd_10000,raw,44,0.008957994010576271,2025,2.214064941428118
para,msd_10000,raw,45,0.0060116002103473955,2004,2.217136350926836
para,msd_10000,raw,46,0.007481076760707684,1974,2.220335594804321
para,msd_10000,raw,47,0.026618826371013125,1990,2.223717044336409
para,msd_10000,raw,48,-0.015427454113552248,1991,2.228066717903456
para,msd_10000,raw,49,0.00020580849647272074,1983,2.231609161769251
para,msd_10000,raw,50,-0.0020498992572214113,1982,2.235018140220274
para,msd_10000,raw,51,0.0022598772675392043,1967,2.2382130450356796
para,msd_10000,raw,52,-0.0029932210091154444,1950,2.24137198725309
para,msd_10000,raw,53,0.010942120609069692,1981,2.244298772367612
para,msd_10000,raw,54,-0.004980917719343327,1985,2.247522421759712
para,msd_10000,raw,55,0.0011606154714295387,1954,2.2504477232568476
para,msd_10000,raw,56,0.013035252637433783,1950,2.2533100002530677
para,msd_10000,raw,57,-0.0030088345189412074,1948,2.256529223763014
para,msd_10000,raw,58,-0.006123105025567844,1924,2.259533686651273
para,msd_10000,raw,59,0.020155584532960295,1933,2.262228740457709
